"Supplemental Table: APMV-1 complete fusion protein gene squences used for phylodynamic analysis. ""Order code"" corresponds to the host order categorization used for the host phylodynamic model (ANS = Anseriformes, CHI = Domestic chickens, COL = Columbiformes, GAL = other Galliformes, PSI = Psittaciformes, SUL = Suliformes, UN = Unspeficied)"												
Class	Genotype	GenBank Accession #	Isolate	Host	Order	Order Code	World Region	Country	US State	US Region	US Flyway	Year
I	1a	FJ487637	08-004	duck	Anseriformes	ANS	East Asia	China	X	X	X	2008
I	1a	HQ398801	09-042	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1a	HQ398807.1	09-049	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1a	HQ398807.1	09-052	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1a	HQ398810	09-053	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1a	HQ398813	09-056	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1a	HQ398814	09-057	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1a	HQ997380	10-011	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
I	1a	JN688864.1	AH-10	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
I	1a	FJ597582	JS/1	duck	Anseriformes	ANS	East Asia	China	X	X	X	2007
I	1a	FJ597584	JS/16	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
I	1a	FJ597588	JS/17	duck	Anseriformes	ANS	East Asia	China	X	X	X	2006
I	1a	FJ597589	JS/18	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
I	1a	FJ597583	JS/2	duck	Anseriformes	ANS	East Asia	China	X	X	X	2007
I	1a	FJ597600	ZJ/30	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
I	1a	FJ597601	ZJ/31	duck	Anseriformes	ANS	East Asia	China	X	X	X	2005
I	1a	JN688865.1	JS-09	goose	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1a	HQ398778	08-038	chicken	Galliformes	CHI	East Asia	China	X	X	X	2008
I	1a	HQ398794	09-020	chicken	Galliformes	CHI	East Asia	China	X	X	X	2009
I	1a	HQ398799	09-031	chicken	Galliformes	CHI	East Asia	China	X	X	X	2009
I	1a	HQ398802	09-043	chicken	Galliformes	CHI	East Asia	China	X	X	X	2009
I	1a	HQ398803	09-044	chicken	Galliformes	CHI	East Asia	China	X	X	X	2009
I	1a	HQ398805	09-047	chicken	Galliformes	CHI	East Asia	China	X	X	X	2009
I	1a	HQ997387	10-064	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1a	HQ997388	10-067	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1a	HQ997397	10-089	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1a	JN688862.1	JS-09	chicken	Galliformes	CHI	East Asia	China	X	X	X	2009
I	1a	GQ245777	XZ-35	chicken	Galliformes	CHI	East Asia	China	X	X	X	2007
I	1b	KJ499462.1	LHLJ/120608	Black Swan	Anseriformes	ANS	East Asia	China	X	X	X	2012
I	1b	KM885160.1	/LFJ/027	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	HQ398788	09-014	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1b	HQ997378	10-005	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
I	1b	HQ997379	10-006	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
I	1b	HQ997383	10-060	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
I	1b	HQ997384	10-061	duck	Anseriformes	ANS	East Asia	China	X	X	X	2010
I	1b	KT381585.1	Guangdong/YF821	duck	Anseriformes	ANS	East Asia	China	X	X	X	2014
I	1b	KT381586.1	Guangdong/YF827	duck	Anseriformes	ANS	East Asia	China	X	X	X	2014
I	1b	AB858995.1	J17-13	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	AB858997.1	J55-13	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	AB859001.1	J70-13	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	AB858996.1	J72-13	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	AB858998.1	J77-13	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	AB858999.1	J80-13	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	KT892750.1	JL/CC04	duck	Anseriformes	ANS	East Asia	China	X	X	X	2015
I	1b	KM885158.1	LFJ/045	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	KM885163.1	LFJ/073	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	KM885159.1	LFJ/104	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	KM885168.1	LGD/358	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	KM885157.1	LGD/364	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	KM885162.1	LGX/280	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	KM885155.1	LGX/298	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	KM885161.1	LHuB/085	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	KM885153.1	LJS/016	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	KM885151.1	LJS/215	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	KM885164.1	LSH/130828	duck	Anseriformes	ANS	East Asia	China	X	X	X	2013
I	1b	KM885152.1	LZJ/067	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	KM885150.1	LZJ/068	duck	Anseriformes	ANS	East Asia	China	X	X	X	2011
I	1b	HQ398812	NDV09-055	duck	Anseriformes	ANS	East Asia	China	X	X	X	2009
I	1b	KX602322.1	Guizhou/01	Sheldrake Duck	Anseriformes	ANS	East Asia	China	X	X	X	2016
I	1b	KX602323.1	Guizhou/02	Sheldrake Duck	Anseriformes	ANS	East Asia	China	X	X	X	2016
I	1b	HQ398795	09-022	chicken	Galliformes	CHI	East Asia	China	X	X	X	2009
I	1b	HQ997382	10-059	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	HQ997386	10-063	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	HQ997389	10-069	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	HQ997390	10-072	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	HQ997391	10-079	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	HQ997392	10-083	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	HQ997393	10-084	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	HQ997394	10-085	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	HQ997398	10-090	chicken	Galliformes	CHI	East Asia	China	X	X	X	2010
I	1b	KT381588.1	Guangdong/GM3	chicken	Galliformes	CHI	East Asia	China	X	X	X	2013
I	1b	KT381589.1	Guangdong/GM307	chicken	Galliformes	CHI	East Asia	China	X	X	X	2014
I	1b	KT381590.1	Guangdong/GZ316	chicken	Galliformes	CHI	East Asia	China	X	X	X	2014
I	1b	KT381591.1	Guangdong/GZ379	chicken	Galliformes	CHI	East Asia	China	X	X	X	2014
I	1b	AB859002.1	J2-13	chicken	Galliformes	CHI	East Asia	China	X	X	X	2013
I	1b	AB859000.1	J36-13	chicken	Galliformes	CHI	East Asia	China	X	X	X	2013
I	1b	KT892746.1	JL/CC02	chicken	Galliformes	CHI	East Asia	China	X	X	X	2015
I	1b	KT892748.1	JL/CC03	chicken	Galliformes	CHI	East Asia	China	X	X	X	2014
I	1b	KT892749.1	JL/CC05	chicken	Galliformes	CHI	East Asia	China	X	X	X	2015
